"","x"
"168","@caetanoveloso minha mensagem é: Bolsonaro 2018, Mais positiva impossível<ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>"
"169","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"170","RT @DCM_online: VÍDEO: “Usei o dinheiro do auxílio moradia pra comer gente, tá satisfeita?”, diz Bolsonaro à repórter da Folha https://t.co…"
"171","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"172","RT @_el_conde: Tava pensando aqui num roteiro de filme onde todo mundo pensa q um deputado nazista usa verba publica para “comer mulher” qu…"
"173","RT @SPD_33: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B0>O Noblat fez uma enquete pro Bolsonaro. Chegou a hora de respondermos a dele. Ajudem com RT. Vamos dar à este jornalistinha es…"
"174","RT @aguedescartoon: Bolsonaro: ""Maria do Rosário, você não merece ser estuprada""

Reinaldo Azevedo: ""Misógino! Cassação já!""

Waack: ""Isso…"
"175","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"176","RT @BernardoMF: Deputado há 27 anos, Bolsonaro vende a ideia de que é diferente dos outros políticos. Isso explica seu descontrole quando a…"
"177","RT @BlogdoNoblat: Meus parabéns aos eleitores de Bolsonaro. Vcs deram um impressionante exemplo de mobilização ao responderem à enquete do…"
"178","Bolsonaro contrata exorcista para se livrar de funcionária fantasma! E avisa se der certo irá sugerir aos seus pare… https://t.co/ZxyvMsXUdH"
"179","RT @adrianohidalgo: Após criticar Jair Bolsonaro, Rachel Sheherazade perde quase 40 mil seguidores - https://t.co/wCwRYxwD3F https://t.co/D…"
"180","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"181","RT @Resblogar: sinceramente não consigo entender a mente de um ser que votará em bolsonaro"
"182","RT @FranRenno: Matheus Faria Carneiro, namorado de Rachel Sherazade, é registrador civil e tabelião titular do Ofício do 2º Distrito de Ang…"
"183","RT @mvsmotta: ""Os fãs do Bolsonaro são um bando de xucros estúpidos que não lêem além da manchete"". 

Se são tudo isso mesmo então imagina…"
"184","RT @FOlCEDESP: Deputado milionário:
Bolsonaro teria pago 140 milhões de cruzeiros em sua primeira casa https://t.co/hlSETk18OH"
"185","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"186","""Mito de pés de barro"", de @veramagalhaes sobre Bolsonaro https://t.co/BixNas97gt Está mais para ""mico"", digo eu."
"187","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"188","5 minutos de debate entre Lula e Bolsonaro https://t.co/WhUOM32NwR"
"189","RT @PietraFerreir16: Bolsonaro vive divulgando conteúdo na página. Aí vem uns bunda mole perguntando sobre o que ele fala...
Normal de preg…"
"190","PSOL não pode se limitar a ser ‘anti-Bolsonaro’, diz @julianomedpsol https://t.co/4CTymotWtx Inclusive porque tem m… https://t.co/qTp5CCoFeB"
"191","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"192","RT @TonyStarkMeta: Aprendam. Estão querendo comparar Bolsonaro a Lula. Essa comparação é abjeta. Chamam Bolsonaro de populista, ele não é p…"
"193","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"194","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"195","RT @delucca: Se a gente somar o salário DA VIDA INTEIRA da Família Bolsonaro INTEIRA, e se eles não tivessem gasto um  real durante esses 3…"
"196","RT @CarlosBolsonaro: Jornalistas reunidos atacam Bolsonaro. Alguma novidade? Enquanto isso o Brasil sendo saqueado de todas as formas, seja…"
